rural agricultural farming 
Rural Agricultural Farming 

reinstated reinstate reinstatement 
reconsidered reconsider reconsideration 

Hungary Budapest Hungarians 
Serbia Belgrade Serbs 

product software vendor 
Product Software Vendor 

asked asking asks 
wanted wanting wants 

conform conforming conformed 
obey obeying obeyed 

not have had 
NOT HAVE HAD 

started begun commenced 
starting beginning commencing 

quote quotes quoting 
Quote Quotes Quoting 

crush smash thump 
crushing smashing thumping 

jump jumping jumps 
dive diving dives 

agent broker salesman 
agents brokers salesmen 

reinforce consolidate solidify 
reinforcing consolidating cementing 

house palace courtyard 
houses palaces courtyards 

following resulting ensuing 
followed resulted ensued 

event incident occurrence 
events incidents occurrences 

official unofficial provisional 
officially unofficially provisionally 

wall walls walled 
fence fences fenced 

database databases Database 
server servers Server 

designer illustrator animator 
designers illustrators animators 

replace fill submit 
Replace Fill Submit 

intimidating intimidated intimidate 
harassing harassed harass 

enjoyed liked fancied 
enjoys likes fancies 

colour colors colours 
flavour flavors flavours 

culture ideology creed 
cultures ideologies creeds 

neighborhood downtown neighborhoods 
Neighborhood Downtown Neighborhoods 

productive cooperative amicable 
productively cooperatively amicably 

guitar guitarist Guitar 
drums drummer Drums 

defined characterized equated 
defines characterizes equates 

acceptable feasible cost-effective 
acceptability feasibility cost-effectiveness 

Put Provide Promote 
Putting Providing Promoting 

facilitate facilitating facilitates 
authorize authorizing authorizes 

preceded precedes precede 
denoted denotes denote 

chef chefs culinary 
gardener gardeners horticultural 

port harbor harbour 
ports harbors harbours 

employment unemployment disability 
Employment Unemployment Disability 

impression perception illusion 
impressions perceptions illusions 

qualified qualification qualifying 
Qualified Qualification Qualifying 

explain clarify illustrate 
describe define depict 

wind rain sunshine 
windy rainy sunny 

exciting fascinating intriguing 
excited fascinated intrigued 

goal accomplishment milestone 
goals accomplishments milestones 

encouraged fostered perpetuated 
encourages fosters perpetuates 

put add remove 
putting adding removing 

poetry poems Poetry 
verse verses Verse 

years centuries generations 
Years Centuries Generations 

Islam islam christianity 
Muslims muslims christians 

medical medicine Medical 
psychological psychology Psychological 

launched conducted convened 
launching conducting convening 

incorrect inappropriate unfair 
incorrectly inappropriately unfairly 

studies experiments observations 
Studies Experiments Observations 

walk Walking walkers 
swim Swimming swimmers 

mathematics linguistics neurology 
mathematician linguist neurologist 

detention deportation eviction 
detentions deportations evictions 

quote paraphrase summarise 
quoting paraphrasing summarising 

prose verse verses 
Prose Verse Verses 

make Make Making 
take Take Taking 

scanning downloading retrieving 
scanned downloaded retrieved 

teaching classroom kindergarten 
Teaching Classroom Kindergarten 

hero heroes heroic 
villain villains villainous 

dealers sellers purchasers 
dealer seller purchaser 

got gave saw 
getting giving seeing 

changed altered rearranged 
changing altering rearranging 

Scientists Researchers Psychologists 
Scientist Researcher Psychologist 

seems appears looks 
Seems Appears Looks 

suffer endure thrive 
suffers endures thrives 

recruitment recruiting recruit 
enrollment enrolling enroll 

carried transported escorted 
carrying transporting escorting 

reminds persuades pleads 
reminding persuading pleading 

sauce salad dessert 
sauces salads desserts 

held holding holds 
represented representing represents 

lay laid laying 
bury buried burying 

paranoid xenophobic anti-American 
paranoia xenophobia anti-Americanism 

agree disagree argue 
agreeing disagreeing arguing 

current latest upcoming 
Current Latest Upcoming 

Protection Protect Protecting 
Prevention Prevent Preventing 

investigating investigate investigated 
analysing analyse analysed 

families individuals persons 
Families Individuals Persons 

gay lesbian queer 
Gay Lesbian Queer 

what how why 
WHAT HOW WHY 

vampire Vampire zombie 
vampires Vampires zombies 

beans bean jelly 
Beans Bean Jelly 

assess assessing assesses 
classify classifying classifies 

radio radar antenna 
radios radars antennas 

scholarship fellowship internship 
scholarships fellowships internships 

discovered recognized proclaimed 
discovers recognizes proclaims 

soliciting solicited solicit 
eliciting elicited elicit 

consistent robust rigorous 
consistency robustness rigor 

deploy deploying deploys 
assemble assembling assembles 

condensed streamlined reorganized 
condense streamline reorganize 

weakened undermined hindered 
weakens undermines hinders 

management ownership inheritance 
managing owning inheriting 

