he his father's 
regiments volunteers recruits 

elephant jumbo barnum 
elephant's jumbo's barnum's 

creative innovative collaborative 
creations innovations collaborations 

physicist physician psychologist 
physicists physicians psychologists 

physicist physician physicians 
lyricist musician musicians 

physicist chemist biologist 
physicists chemists biologists 

physicist sociologist anthropologist 
physicists sociologists anthropologists 

physicist biologist sociologist 
physicists biologists sociologists 

physicist theorist thinker 
physicists theorists thinkers 

directors sectors projectors 
directions sections projections 

portrait trait mutation 
portraits traits mutations 

croatia croatian croats 
albania albanian albanians 

croatia slovenia latvia 
croatian slovenian latvian 

croatia yugoslavia austria-hungary 
croatian yugoslavian austro-hungarian 

croatia bosnia slovenia 
croatian bosnian slovenian 

croatia bulgaria slovakia 
croatian bulgarian slovak 

croatia albania macedonia 
croatian albanian macedonian 

croatia dalmatia corsica 
croatian dalmatian corsican 

variable variation mutation 
variables variations mutations 

variable probability axiom 
variables probabilities axioms 

morocco tunisia namibia 
moroccan tunisian namibian 

morocco algeria tunisia 
moroccan algerian tunisian 

morocco somalia tunisia 
moroccan somali tunisian 

morocco libya tunisia 
moroccan libyan tunisian 

morocco kenya namibia 
moroccan kenyan namibian 

protests protested protesting 
arrests arrested arresting 

protests arrests convictions 
protested arrested convicted 

expert researcher anthropologist 
experts researchers anthropologists 

eliminated eliminate eliminating 
dominated dominate dominating 

eliminated elimination eliminating 
dominated domination dominating 

eliminated dominated terminated 
eliminate dominate terminate 

eliminated dominated culminated 
eliminating dominating culminating 

eliminated dominated fascinated 
elimination domination fascination 

abandoned ruined mined 
abandoning ruining mining 

abandoned rebuilt restored 
abandon rebuild restore 

buddhism buddhist buddhists 
hinduism hindu hindus 

buddhism hinduism sikhism 
buddhists hindus sikhs 

buddhism taoism confucianism 
buddhist taoist confucian 

buddhism judaism hinduism 
buddhists non-muslims hindus 

passage passion confession 
passages passions confessions 

airplane airliner aeroplane 
airplanes airliners aeroplanes 

airplane helicopter aeroplane 
airplanes helicopters aeroplanes 

preserved preserve preserves 
reserved reserve reserves 

preserved preserve preservation 
conserved conserve conservation 

preserved reserved retained 
preserves reserves retains 

preserved reserved deserved 
preserve reserve deserve 

preserved reserved conserved 
preservation reservation conservation 

preserved preservation preserves 
reserved reservation reserves 

preserved preservation preservative 
conserved conservation conservative 

preserved conserved deserved 
preserve conserve deserve 

watching catching hatching 
watches catches hatches 

watching watches watchmen 
catching catches catchment 

watching watched watches 
hatching hatched hatches 

watching watched watches 
matching matched matches 

watching matching hatching 
watches matches hatches 

watching matching hatching 
watched matched hatched 

watching viewing reviewing 
watched viewed reviewed 

rebuilt repaired reconstructed 
rebuild repair reconstruct 

rebuilt restored reconstructed 
rebuild restore reconstruct 

genetics microbiology neurology 
geneticist microbiologist neurologist 

genetics physiology microbiology 
geneticist physiologist microbiologist 

ecuador venezuela bolivia 
ecuadorian venezuelan bolivian 

ecuador bolivia nicaragua 
ecuadorian bolivian nicaraguan 

ecuador uruguay bolivia 
ecuadorian uruguayan bolivian 

publisher publication pamphlet 
publishers publications pamphlets 

publisher printer typewriter 
publishers printers typewriters 

installed install installing 
loaded load loading 

installed installation installations 
renovated renovation renovations 

installed loaded reloaded 
installing loading reloading 

installed renovated refurbished 
installation renovation refurbishment 

installed renovated excavated 
installations renovations excavations 

praised criticised disliked 
praise criticize dislike 

praised acclaimed reclaimed 
praise acclaim reclaim 

praised commented reviewed 
praising commenting reviewing 

venezuela bolivia nicaragua 
venezuelan bolivian nicaraguan 

venezuela uruguay bolivia 
venezuelan uruguayan bolivian 

receiving earning gaining 
receives earns gains 

defensive defenders defenses 
offensive offenders offenses 

defensive defender defenders 
offensive offender offenders 

mines fines refineries 
mined fined refined 

astronomy astronomer astronomical 
astrology astrologer astrological 

astronomy astronomer astronomical 
meteorology meteorologist meteorological 

astronomy astronomers astronomer 
meteorology meteorologists meteorologist 

astronomy astrology meteorology 
astronomical astrological meteorological 

astronomy astrology meteorology 
astronomer astrologer meteorologist 

originated originates originate 
dominated dominates dominate 

originated originating originate 
dominated dominating dominate 

originated dominated terminated 
originate dominate terminate 

originated dominated culminated 
originating dominating culminating 

originated descended ascended 
originating descending ascending 

explosion explosions exploding 
collision collisions colliding 

explosion explode exploding 
collision collide colliding 

explosion exploded exploding 
collision collided colliding 

geometry geometric geometrical 
symmetry symmetric symmetrical 

geometry symmetry trigonometry 
geometric symmetric trigonometric 

succession recession progression 
successive recessive progressive 

succession procession precession 
succeeding proceeding preceding 

succession possession confession 
successes possesses confesses 

reptiles ichthyosaurs dromaeosaurs 
reptile ichthyosaur dromaeosaur 

occasionally occasions occasional 
exceptionally exceptions exceptional 

occasionally occasions occasional 
additionally additions additional 

occasionally exceptionally optionally 
occasional exceptional optional 

occasionally additionally optionally 
occasional additional optional 

occasionally additionally exceptionally 
occasions additions exceptions 

rush rushed rushing 
crush crushed crushing 

rush crush brush 
rushed crushed brushed 

tunnel runway walkway 
tunnels runways walkways 

components exponents quantifiers 
component exponent quantifier 

spiders gliders breeders 
spider glider breeder 

progressive progressively progresses 
successive successively successes 

progressive progression progressively 
aggressive aggression aggressively 

progressive progression progresses 
expressive expression expresses 

progressive progression progresses 
successive succession successes 

progressive progressed progresses 
expressive expressed expresses 

progressive aggressive oppressive 
progression aggression oppression 

progressive recessive oppressive 
progression recession oppression 

progressive expressive oppressive 
progression expression oppression 

progressive expressive oppressive 
progressed expressed oppressed 

progressive impressive oppressive 
progression impression oppression 

consisting assisting recruiting 
consisted assisted recruited 

rejected reject rejects 
subjected subject subjects 

rejected reject rejecting 
denied deny denying 

rejected subjected objected 
rejects subjects objects 

rejected denied testified 
reject deny testify 

rejected denied violated 
rejecting denying violating 

rejected criticised commented 
rejecting criticizing commenting 

purchased purchase purchasing 
leased lease leasing 

wrestlers wrestled wrestle 
feuds feuded feud 

crashed crashes crashing 
washed washes washing 

crashed washed brushed 
crashes washes brushes 

crashed washed smashed 
crashing washing smashing 

crashed wrecked sucked 
crashing wrecking sucking 

crashed exploded exploited 
crashes explodes exploits 

fled flee fleeing 
seized seize seizing 

fled emigrated migrated 
flee emigrate migrate 

fled seized recaptured 
flee seize recapture 

fled seized smuggled 
fleeing seizing smuggling 

fled retreated seized 
fleeing retreating seizing 

powder boiler mixer 
powdered boiled mixed 

advertising posting commenting 
advertised posted commented 

accurate reliable sufficient 
accurately reliably sufficiently 

measuring measurements measurable 
comparing comparisons comparable 

customers buyers retailers 
customer buyer retailer 

customers consumers buyers 
customer consumer buyer 

customers sellers buyers 
customer seller buyer 

variations variables probabilities 
variation variable probability 

viewers viewed viewer 
reviewers reviewed reviewer 

viewers viewing viewer 
reviewers reviewing reviewer 

tone semitone ketone 
tones semitones ketones 

varies varied varying 
differs differed differing 

contributed contribute contributes 
attributed attribute attributes 

contributed attributed referenced 
contribute attribute reference 

sixteen seventeen nineteen 
sixty seventy ninety 

specialized localized centralized 
specially locally centrally 

employees assets commodities 
employee asset commodity 

contributions contribution contributing 
distributions distribution distributing 

contributions contributing contributors 
distributions distributing distributors 

contributions contributor contributors 
distributions distributor distributors 

contributions achievements accomplishments 
contribution achievement accomplishment 

keyboard percussion accompaniment 
keyboardist percussionist accompanist 

restored restoration restore 
reconstructed reconstruction reconstruct 

restored renovated refurbished 
restoration renovation refurbishment 

restored reclaimed recaptured 
restore reclaim recapture 

blocked locked kicked 
blocker locker kicker 

blocked mocked sucked 
blocking mocking sucking 

blocked shocked mocked 
blocking shocking mocking 

blocked knocked mocked 
blocking knocking mocking 

blocked checked invoked 
blocking checking invoking 

clock lock flock 
clocks locks flocks 

geographical geographically geographers 
geological geologically geologists 

geographical geography geographer 
biographical biography biographer 

geographical geography geographers 
geological geology geologists 

geographical geographer geographers 
geological geologist geologists 

geographical geological logical 
geographically geologically logically 

geographical geological topological 
geography geology topology 

geographical geological archeological 
geographers geologists archeologists 

geographical geological theological 
geographer geologist theologian 

servant merchant mercenary 
servants merchants mercenaries 

execution executions executioner 
prosecution prosecutions prosecutor 

execution prosecution tribunal 
executions prosecutions tribunals 

yugoslavia bosnia slovenia 
yugoslavian bosnian slovenian 

yugoslavia slovenia latvia 
yugoslavian slovenian latvian 

yugoslavia albania macedonia 
yugoslavian albanian macedonian 

yugoslavia bulgaria slovakia 
yugoslavian bulgarian slovak 

bulgaria slovakia czechoslovakia 
bulgarian slovak czechoslovak 

bulgaria belarus slovakia 
bulgarian belarusian slovak 

bulgaria slovenia latvia 
bulgarian slovenian latvian 

bulgaria macedonia estonia 
bulgarian macedonian estonian 

bulgaria albania macedonia 
bulgarian albanian macedonian 

bulgaria estonia latvia 
bulgarian estonian latvian 

bulgaria lithuania latvia 
bulgarian lithuanian latvian 

bulgaria algeria tunisia 
bulgarian algerian tunisian 

bulgaria tunisia namibia 
bulgarian tunisian namibian 

larvae tadpoles bullfrogs 
larva tadpole bullfrog 

larvae caterpillars tadpoles 
larva caterpillar tadpole 

larvae wasps caterpillars 
larva wasp caterpillar 

maintain ensure enable 
maintained ensured enabled 

maintain attain assess 
maintained attained assessed 

romanian albanian athenian 
romanians albanians athenians 

romanian ukrainian albanian 
romanians ukrainians albanians 

romanian serbian albanian 
romanians serbs albanians 

romanian croatian albanian 
romanians croats albanians 

sauce sausage noodle 
sauces sausages noodles 

sauce juice flavor 
sauces juices flavours 

kidney hemorrhage long-illness 
kidneys hemorrhoids illnesses 

kidney lymphoma esophageal 
kidneys lymphocytes oesophagus 

carrier barrier terrier 
carriers barriers terriers 

carrier barrier harrier 
carrie barrie harriet 

carrier terrier breeder 
carriers terriers breeders 

accounts accounting accounted 
counts counting counted 

accounts counts mounts 
accounted counted mounted 

anywhere somewhere wherever 
anyway somehow whenever 

anywhere somewhere everywhere 
anybody somebody everybody 

anywhere anybody else's 
everywhere everybody everyone's 

burial excavation renovation 
burials excavations renovations 

internationally internationale internationals 
nationally nationale nationals 

internationally hibernation internationals 
nationally nation nationals 

involving solving resolving 
involve solve resolve 

encouraged encourage encourages 
persuaded persuade persuades 

encouraged encourages encouragement 
persuaded persuades persuasion 

encouraged discouraged outraged 
encourage discourage outrage 

encouraged persuaded urged 
encourage persuade urge 

encouraged persuaded urged 
encourages persuades urges 

encouraged begged disgusted 
encouraging begging disgusting 

encouraged convinced begged 
encouraging convincing begging 

encouraged devoted gifted 
encourages devotees gifts 

encouraged practised exercised 
encouraging practising exercising 

residence resident landowner 
residences residents landowners 

bullet shotgun handgun 
bullets shotguns handguns 

bullet pistol shotgun 
bullets pistols shotguns 

bullet cartridge shotgun 
bullets cartridges shotguns 

bullet barrel handgun 
bullets barrels handguns 

moral oral literal 
morally orally literally 

noticed guessed stressed 
notices guesses stresses 

noticed discussed debated 
noticing discussing debating 

watched hatched bewitched 
watches hatches witches 

watched matched hatched 
watches matches hatches 

gospel apostle psalm 
gospels apostles psalms 

responsibility possibility capability 
responsibilities possibilities capabilities 

aspects respects prospects 
aspect respect prospect 

aspects perspective aspect 
respects respective respect 

croatian albanian athenian 
croats albanians athenians 

croatian ukrainian albanian 
croats ukrainians albanians 

croatian palestinian kurdish 
croats palestinians kurds 

observations telescopes observatories 
observation telescope observatory 

terrorist extremist fundamentalist 
terrorists extremists fundamentalists 

siege retreat recapture 
besieged retreated recaptured 

limestone sediment sediments 
lime condiment condiments 

faculty institut universite 
faculties institutions universities 

jamaica bahamas barbados 
jamaican bahamian barbadian 

printing printer printers 
handwriting typewriter typewriters 

triangle triangular triangles 
rectangle rectangular rectangles 

publication duplication indication 
publications implications indications 

publication essay pamphlet 
publications essays pamphlets 

magnitude latitude attitude 
magnitudes latitudes attitudes 

liberation cooperation negotiation 
liberated cooperated negotiated 

finger toe claw 
fingers toes claws 

admitted permitted prohibited 
admitting permitting prohibiting 

admitted permitted submitted 
admission permission submission 

admitted admission admitting 
permitted permission permitting 

ukrainian albanian athenian 
ukrainians albanians athenians 

mozart beethoven mahler 
mozart's beethoven's mahler's 

mozart mahler mussorgsky 
mozart's mahler's mussorgsky's 

mozart verdi puccini 
mozart's verdi's puccini's 

catholics protestants atheists 
catholicism protestantism atheism 

pull push pump 
pulling pushing pumping 

traveling travelers traveler 
travelling travellers traveller 

assault offense offender 
assaults offenses offenders 

rope elbow ankle 
ropes elbows ankles 

friendship friend's friendships 
partnership partner's partnerships 

friendship partnership collaboration 
friendships partnerships collaborations 

celebration celebrating celebrates 
commemoration commemorating commemorates 

doubles troubles struggles 
doubled troubled struggled 

spelling pronunciation phoneme 
spellings pronunciations phonemes 

vector detector pulsar 
vectors detectors pulsars 

transition transformation transfusion 
transitions transformations transfusions 

transition deposition decomposition 
transitions prepositions compositions 

transition proposition bijection 
transitions propositions objections 

grounds rounds bounds 
grounded rounded bounded 

grounds surrounds bounds 
grounded surrounded bounded 

please lease cease 
pleased leased ceased 

avatar protagonist antagonist 
avatars protagonists antagonists 

achievement innovation renovation 
achievements innovations renovations 

achievement improvement implement 
achievements improvements implements 

cavalry brigade brig 
cavalier brigadier briggs 

waiting exiting terminating 
waited exited terminated 

waiting shouting embarrassing 
waited shouted embarrassed 

eruption disruption interruption 
erupted disrupted interrupted 

motors motorcycles bicycles 
motorsport motorcycle bicycle 

traits portraits paints 
trait portrait painting 

lock locks locking 
knock knocks knocking 

lock knock unlock 
locked knocked unlocked 

lock locked locking 
knock knocked knocking 

lock locked locking 
mock mocked mocking 

tons tonnes gallons 
ton tonne gallon 

readers reader readings 
headers header headings 

readers printers typewriters 
reader printer typewriter 

ears slits buttocks 
oars shafts handcuffs 

instruction reconstruction renovation 
instructed reconstructed renovated 

instruction reconstruction reconstructed 
installation renovation renovated 

instruction installation installations 
reconstruction renovation renovations 

inventor investor investigator 
inventors investors investigators 

inventor typewriter amplifier 
inventors typewriters amplifiers 

ticket packet socket 
tickets packets sockets 

communicate interact integrate 
communicating interacting integrating 

exception reception interception 
exceptions receptions interceptions 

shoulder shoulders spikes 
boulder boulders dikes 

shoulder knee ankle 
shoulders knees ankles 

shoulder ankle wrist 
shoulders ankles wrists 

ingredients desserts salads 
ingredient dessert salad 

processor processors processed 
compressor compressors compressed 

processor processed procession 
accessory accessed accession 

processor compressor capacitor 
processors compressors capacitors 

defended defender defenders 
offended offender offenders 

defended defenders defenses 
offended offenders offenses 

defended defendant defenders 
offended unlawful offenders 

defended defences defenses 
offended offences offenses 

assumed asserted assessed 
assume assert assess 

establish establishment establishing 
adopt adoption adopting 

nigeria algeria tunisia 
nigerian algerian tunisian 

nigeria ghana zambia 
nigerian ghanaian zambian 

nigeria tunisia namibia 
nigerian tunisian namibian 

nigeria namibia zambia 
nigerian namibian zambian 

nigeria liberia iberia 
nigerian liberian iberian 

nigeria iberia assyria 
nigerian iberian assyrian 

nigeria kenya namibia 
nigerian kenyan namibian 

nigeria cambodia namibia 
nigerian cambodian namibian 

subway tramway walkway 
subways tramways walkways 

subway commuter freeway 
subways commuters freeways 

subway freeway walkway 
subways freeways walkways 

maker manufacturer retailer 
makers manufacturers retailers 

astronomers astronomer astronomical 
astronauts astronaut astronautical 

astronomers astronomer herschel 
physicists physicist bohr 

astronomers astronomer astronomical 
meteorologists meteorologist meteorological 

astronomers physicists physicians 
astronomer physicist physician 

astronomers meteorologists meteors 
astronomer meteorologist meteor 

astronomers meteorologists archeologists 
astronomical meteorological archeological 

astronomers geologists anthropologists 
astronomer geologist anthropologist 

astronomers mathematicians physicists 
astronomer mathematician physicist 

volcanoes geysers chimneys 
stratovolcano geyser chimney 

isolated insulated inflated 
isolation insulation inflation 

isolated manipulated inflated 
isolation manipulation inflation 

isolated assimilated manipulated 
isolation assimilation manipulation 

pollution irrigation cultivation 
polluted irrigated cultivated 

hindus sikhs buddhists 
hinduism sikhism buddhism 

lighter brighter bulky 
lightest brightest milky 

lighter brighter tighter 
lightly brightly tightly 

lighter lightest lightness 
brighter brightest brightness 

lighter lightly lightness 
brighter brightly brightness 

reorganisation organisations organising 
reorganization organizations organizing 

favor favorable favored 
favour favourable favoured 

psychological neurological astrological 
psychologist neurologist astrologer 

psychological physiological neurological 
psychologist physiologist neurologist 

jaw claw paw 
jaws claws paws 

realized worried cried 
realizes worries cries 

photographs photography photographic 
graphs typography graphic 

photographs graphs paragraphs 
autograph graph paragraph 

abolished demolished reconstructed 
abolition demolition reconstruction 

abolished ratified justified 
abolish ratify justify 

commanded demanded seized 
commanding demanding seizing 

maintained maintains maintaining 
retained retains retaining 

surrender retreat recapture 
surrendered retreated recaptured 

suit outfit skirt 
suits outfits skirts 

destination destinations termination 
hub hubs terminal 

destination hub commuter 
destinations hubs commuters 

benefits profits debts 
benefit profit debt 

benefits guarantees ensures 
benefited guaranteed ensured 

benefits unemployment deployment 
benefited unemployed deployed 

verse rhyme sonnet 
verses rhymes sonnets 

verse verb verbs 
adverse adverb adverbs 

corruption disruption interruption 
corrupted disrupted interrupted 

infected infect infects 
defected defect defects 

infected infectious infects 
defected defective defects 

monday thursday wednesday 
mondays thursdays wednesdays 

monday tuesday weekday 
mondays tuesdays weekdays 

mirror lens sensor 
mirrors lenses sensors 

transmission transistor diode 
transmissions transistors diodes 

transmission transaction deduction 
transmissions transactions deductions 

climb climbing climbers 
hike hiking hikers 

climb clip clips 
limb lip lips 

archaeological archaeology archaeologist 
geological geology geologist 

archaeological archaeology archaeologist 
zoological zoology zoologist 

archaeological archaeology archaeologist 
theological theology theologian 

archaeological archaeologists archaeologist 
geological geologists geologist 

archaeological geological topological 
archaeology geology topology 

archaeological geological meteorological 
archaeologists geologists meteorologists 

archaeological geological theological 
archaeologist geologist theologian 

archaeological zoological topological 
archaeology zoology topology 

archaeological theological ideological 
archaeology theology ideology 

explanation hypothesis axiom 
explanations hypotheses axioms 

explanation notion caution 
explanations notions precautions 

explanation interpretation imitation 
explanations interpretations limitations 

explanation interpretation imitation 
explaining interpreting imitating 

explanation suggestion notion 
explanations suggestions notions 

explanation prediction notion 
explanations predictions notions 

explanation conclusion illusion 
explanations conclusions illusions 

lebanon tunisia namibia 
lebanese tunisian namibian 

lebanon libya tunisia 
lebanese libyan tunisian 

lebanon algeria tunisia 
lebanese algerian tunisian 

physiology physiological physiologist 
neurology neurological neurologist 

physiology microbiology neurology 
physiologist microbiologist neurologist 

physiology epidemiology neurology 
physiological epidemiological neurological 

physiology sociology anthropology 
physiologist sociologist anthropologist 

physiology zoology topology 
physiological zoological topological 

physiology zoology paleontology 
physiologist zoologist paleontologist 

physiology ecology zoology 
physiological ecological zoological 

physiology morphology neurology 
physiological morphological neurological 

physiology cosmology astrology 
physiological cosmological astrological 

physiology anthropology paleontology 
physiologist anthropologist paleontologist 

discoveries discover discovering 
explorations explore exploring 

ports imports extracts 
ported imported extracted 

ports exports imports 
ported exported imported 

grandson granddaughter grandpa 
son-in-law daughter-in-law aunt 

grandson son-in-law great-grandson 
grandchild childless great-grandchildren 

attractions attractive attracting 
interactions interactive interacting 

attractions interactions contractions 
attracting interacting contracting 

rape kidnapping stabbing 
raped kidnapped stabbed 

rape torture persecution 
raped tortured persecuted 

emotional emotion prejudice 
devotional devotion obedience 

emotional emotions emotion 
sensational sensations sensation 

emotional sensational improvisational 
emotion sensation improvisation 

emotional motivational sensational 
emotion motivation sensation 

occasions exceptions additions 
occasional exceptional additional 

cake pancake doughnut 
cakes pancakes doughnuts 

cake doughnut biscuit 
cakes doughnuts biscuits 

cake dessert noodle 
cakes desserts noodles 

cake onion doughnut 
cakes onions doughnuts 

viewed viewing viewer 
reviewed reviewing reviewer 

barrier barrie barris 
harrier harriet harris 

barrier terrier breeder 
barriers terriers breeders 

protects prevents avoids 
protecting preventing avoiding 

geological ecological zoological 
geology ecology zoology 

geological zoological topological 
geology zoology topology 

geological cosmological topological 
geology cosmology topology 

geological theological ideological 
geology theology ideology 

geological geology geologist 
zoological zoology zoologist 

geological geology geologist 
theological theology theologian 

geological geology geologists 
meteorological meteorology meteorologists 

geological morphological topological 
geology morphology topology 

geological meteorological archeological 
geologists meteorologists archeologists 

geological meteorological astrological 
geologist meteorologist astrologer 

geological geologists geologist 
meteorological meteorologists meteorologist 

geological neurological astrological 
geologist neurologist astrologer 

tribute tribune tributes 
contribute contributor contributes 

tribute tribune tributes 
distribute distributor distributes 

tribute contribute attribute 
tributes contributes attributes 

tribute distribute attribute 
tributes distributes attributes 

employed deployed unemployed 
employment deployment unemployment 

employed recruited deployed 
employment recruitment deployment 

photographer photography photographed 
choreographer choreography choreographed 

photographer photography photographers 
filmmaker filmmaking filmmakers 

photographer photography photographers 
geographer geography geographers 

photographer photographic photographers 
geographer geographic geographers 

photographer cinematographer cartographer 
photography cinematography cartography 

photographer biographer cartographer 
photography biography cartography 

photographer choreographer cinematographer 
photography choreography cinematography 

photographer filmmaker animator 
photographers filmmakers animators 

photographer printmaker cartographer 
photography printmaking cartography 

photographer sculptor impressionist 
photographers sculptors impressionists 

wonder wondered wondering 
wander wandered wandering 

wonder wander lander 
wondered wandered landed 

physician magician technician 
physicians magicians technicians 

physician psychiatrist therapist 
physicians psychiatrists therapists 

physician psychologist sociologist 
physicians psychologists sociologists 

probability liability vulnerability 
probable liable vulnerable 

skier skiers skied 
racer racers raced 

skier cyclist racer 
skiers cyclists racers 

invention mention intention 
inventions mentions intentions 

counted counts counting 
accounted accounts accounting 

counted mounted amounted 
counts mounts amounts 

jumping pumping sucking 
jumped pumped sucked 

jumping lifting drifting 
jumped lifted drifted 

jumping trapping rapping 
jumped trapped rapped 

jumping throwing leaping 
jumps throws leaps 

jumping fencing weightlifting 
jumper judo weightlifter 

discrimination discriminated discriminate 
violation violated violate 

discrimination violation prosecution 
discriminated violated prosecuted 

subsequently substantially vastly 
subsequent substantial vast 

vowel pronunciation idiom 
vowels pronunciations idioms 

donkey monkey hedgehog 
donkeys monkeys hedgehogs 

donkey hedgehog raccoon 
donkeys hedgehogs raccoons 

collapsed collided drifted 
collapsing colliding drifting 

somewhere somebody someone's 
everywhere everybody everyone's 

economist sociologist anthropologist 
economists sociologists anthropologists 

economist chemist biologist 
economists chemists biologists 

economist theorist thinker 
economists theorists thinkers 

economist thinker fundamentalist 
economists thinkers fundamentalists 

geography geographer geographers 
geology geologist geologists 

geography geographically geographers 
geology geologically geologists 

geography geology archaeology 
geographers geologists archaeologists 

geography geology paleontology 
geographer geologist paleontologist 

geography biography cartography 
geographer biographer cartographer 

geographic geographer geographers 
photographic photographer photographers 

discussion discussed discussions 
suggestion suggested suggestions 

discussion notion caution 
discussions notions precautions 

discussion suggestion notion 
discussions suggestions notions 

discussion suggestion speculation 
discussed suggested speculated 

theology theologian theologians 
anthropology anthropologist anthropologists 

theology theological theologians 
ideology ideological ideologies 

theology sociobiology biophysics 
theologian sociologist astrophysicist 

theology anthropology paleontology 
theologian anthropologist paleontologist 

theology anthropology palaeontology 
theologians anthropologists palaeontologists 

theology zoology topology 
theological zoological topological 

theology ethics ideology 
theological ethical ideological 

theology cosmology astrology 
theological cosmological astrological 

theology geology ecology 
theological geological ecological 

directions directive directives 
objections objective objectives 

directions objections reflections 
directive objective reflective 

astronomer astronaut astrologer 
astronomical astronautical astrological 

astronomer meteorologist neurologist 
astronomical meteorological neurological 

albania macedonia estonia 
albanian macedonian estonian 

albania bosnia slovenia 
albanian bosnian slovenian 

albania lithuania latvia 
albanian lithuanian latvian 

albania slovenia latvia 
albanian slovenian latvian 

hanging hang hanged 
ranging rang ranged 

hanging ranging arranging 
hanged ranged arranged 

integer exponent coefficient 
integers exponents coefficients 

integer decimal numeral 
integers decimals numerals 

protons neutrons photons 
proton neutron photon 

protons leptons futons 
proton krypton futon 

protons photons bosons 
proton photon boson 

protons isotopes carbocations 
proton isotope carbocation 

algorithm logarithm axiom 
algorithms logarithms axioms 

algorithm computation supercomputer 
algorithms computations supercomputers 

loan payment buyer 
loans payments buyers 

trapped trapping sucking 
rapped rapping fucking 

trapped rapped tapped 
traps raps taps 

trapped sucked plucked 
trapping sucking plucking 

trapped traps trapping 
rapped raps rapping 

trapped traps trapping 
wrapped wraps wrapping 

trapped wrapped whipped 
trapping wrapping whipping 

trapped wrapped skipped 
trapper wrapper skipper 

trapped wrapped tapped 
traps wraps taps 

trapped ripped slipped 
trapper ripper slipper 

trapped pumped squeezed 
trapping pumping squeezing 

trapped mapped rapped 
trapping mapping rapping 

trapped slipped skipped 
trapper slipper skipper 

decorated decorate decorating 
commemorated commemorate commemorating 

decorated decoration decorating 
commemorated commemoration commemorating 

decorated decorative decorate 
commemorated commemorative commemorate 

decorated decorations decorating 
carved carvings carving 

decorated carved engraved 
decorating carving engraving 

decorated carved engraved 
decorations carvings engravings 

circular triangular rectangular 
circles triangles rectangles 

climbing hiking surfing 
climbers hikers surfers 

climbing camping surfing 
climbers campers surfers 

download downloaded downloading 
upload uploaded uploading 

curve curved curves 
curl curled curls 

imprisoned tortured persecuted 
imprisonment torture persecution 

rod reel eel 
rods reels eels 

dominated dominate dominating 
terminated terminate terminating 

dominated fascinated vaccinated 
domination fascination vaccination 

dominated domination dominating 
terminated termination terminating 

dominated terminated culminated 
dominating terminating culminating 

monkeys donkeys hedgehogs 
monkey donkey hedgehog 

monkeys hedgehogs raccoons 
monkey hedgehog raccoon 

switched switching switches 
pitched pitching pitches 

switched pitched bewitched 
switches pitches witches 

switched punched smashed 
switching punching smashing 

gift donation obligation 
gifts donations obligations 

disappeared disappear disappearing 
cleared clear clearing 

disappeared disappearance disappearing 
cleared clearance clearing 

disappeared cleared stared 
disappearing clearing staring 

disappeared feared cleared 
disappearing fearing clearing 

disappeared disappointed embarrassed 
disappearing disappointing embarrassing 

purchase payment transaction 
purchases payments transactions 

han shan wuhan 
hang shang pyongyang 

algeria tunisia namibia 
algerian tunisian namibian 

algeria iberia assyria 
algerian iberian assyrian 

algeria libya tunisia 
algerian libyan tunisian 

algeria somalia tunisia 
algerian somali tunisian 

algeria liberia iberia 
algerian liberian iberian 

algeria ethiopia tunisia 
algerian ethiopian tunisian 

algeria namibia zambia 
algerian namibian zambian 

strengthened intensified persisted 
strengthen intensify persistent 

strengthened dissipated drifted 
strengthening dissipating drifting 

nights sights highlights 
nightingale sighting highlighting 

circulation circulated circulating 
regulation regulated regulating 

circulation circulatory circulated 
insulation insulator insulated 

circulation circulatory circulated 
accumulation accumulator accumulated 

circulation circulatory circulating 
regulation regulatory regulating 

circulation ejaculation stimulation 
circulate ejaculate stimulate 

circulation speculation manipulation 
circulated speculated manipulated 

circulation insulation stimulation 
circulated insulated stimulated 

circulation insulation accumulation 
circulatory insulator accumulator 

circulation inflation stimulation 
circulated inflated stimulated 

circulation calculation formulation 
circulated calculated formulated 

circulation accumulation formulation 
circulated accumulated formulated 

circulation manipulation formulation 
circulated manipulated formulated 

circulation regulation stimulation 
