he his father's 
similar assimilated manipulated 
similarity assimilation manipulation 

changed change changes 
exchanged exchange exchanges 

changed hanged ranged 
changing hanging ranging 

changed changes changing 
exchanged exchanges exchanging 

formed reformed revived 
forming reforming reviving 

formed merged emerged 
forming merging emerging 

formed performed danced 
forming performing dancing 

formed emerged thrived 
forming emerging thriving 

formed joined merged 
forming joining merging 

received receive receives 
earned earn earns 

received receive receives 
gave give gives 

received receiving receives 
earned earning earns 

received receiving receives 
gave giving gives 

received perceived conceived 
reception perception conception 

received earned learned 
receive earn learn 

received earned learned 
receives earns learns 

received earned learned 
receiving earning learning 

received reception receptions 
perceived perception perceptions 

received gained retained 
receives gains retains 

received gave offered 
receive give offer 

southern southernmost southerly 
eastern easternmost easterly 

center centers centered 
centre centres centred 

center centers centered 
enter enters entered 

center enter carpenter 
centers enters carpenters 

see sees seeing 
tell tells telling 

see find reveal 
sees finds reveals 

court judge juror 
courtiers judges jurors 

singer songwriter vocalist 
singers songwriters vocalists 

singer musician songwriter 
singers musicians songwriters 

singer vocalist soloist 
singers vocalists soloists 

singer guitarist drummer 
singers guitarists drummers 

military militaries military's 
naval navies navy's 

six sixteen sixty 
seven seventeen seventy 

change changes changing 
exchange exchanges exchanging 

political politics politically 
economical economics economically 

political radical non-violent 
politically radically violently 

political politicians politically 
economical economists economically 

politician politicians politically 
economist economists economically 

politician lawyer businessman 
politicians lawyers businessmen 

politician economist sociologist 
politicians economists sociologists 

politician activist feminist 
politicians activists feminists 

politician journalist novelist 
politicians journalists novelists 

lost defeated defended 
losing defeating defending 

led brought turned 
leads brings turns 

animals birds snakes 
animal's bird's snake's 

animals humans non-humans 
animal human non-human 

actress songwriter vocalist 
actresses songwriters vocalists 

mother mothers mother-in-law 
sister sisters sister-in-law 

mother mother's mothers 
sister sister's sisters 

mother sister godmother 
mothers sisters smothers 

mother sister grandmother 
mother's sister's grandmother's 

version conversion conversation 
versions conversions conversations 

version edition audition 
versions editions auditions 

produced produce producing 
reproduced reproduce reproducing 

produced produce produces 
introduced introduce introduces 

produced produces producing 
introduced introduces introducing 

produced producing productive 
