directory directories 
banker bankers 
Governor Governors 
administrator administrators 
tale tales 
dish dishes 
animal animals 
paradigm paradigms 
port ports 
society societies 
invitation invitations 
researcher researchers 
perpetrator perpetrators 
bloke blokes 
costume costumes 
tower towers 
flower flowers 
technology technologies 
protagonist protagonists 
pioneer pioneers 
laptop laptops 
exporter exporters 
dolphin dolphins 
anarchist anarchists 
Protestant Protestants 
storm storms 
youngster youngsters 
partnership partnerships 
card cards 
pixel pixels 
pilot pilots 
compartment compartments 
member members 
castle castles 
Nazi Nazis 
garden gardens 
hunter hunters 
attempt attempts 
carriage carriages 
robot robots 
kitten kittens 
rabbit rabbits 
church churches 
Zionist Zionists 
sculpture sculptures 
sociologist sociologists 
iPad iPads 
founder founders 
candle candles 
cook cooks 
cellphone cellphones 
chef chefs 
kitchen kitchens 
script scripts 
voter voters 
detector detectors 
licensee licensees 
idea ideas 
wetland wetlands 
hotel hotels 
payer payers 
Russian Russians 
cadet cadets 
masterpiece masterpieces 
hub hubs 
convict convicts 
node nodes 
maker makers 
fatality fatalities 
curator curators 
beverage beverages 
publication publications 
prosecutor prosecutors 
NGO NGOs 
tenant tenants 
politician politicians 
locomotive locomotives 
Expert Experts 
illustration illustrations 
sausage sausages 
packet packets 
disciple disciples 
pipe pipes 
bundle bundles 
tiger tigers 
critic critics 
committee committees 
yacht yachts 
contestant contestants 
barnstar barnstars 
shirt shirts 
novelist novelists 
broker brokers 
patriot patriots 
congregation congregations 
workstation workstations 
lefty lefties 
tactic tactics 
group groups 
symptom symptoms 
site sites 
clergyman clergy 
Lawyer Lawyers 
penguin penguins 
subsystem subsystems 
surgery surgeries 
type types 
pet pets 
resource resources 
alcoholic alcoholics 
hero heroes 
document documents 
aspect aspects 
clinician clinicians 
grant grants 
algorithm algorithms 
historian historians 
certificate certificates 
zone zones 
partner partners 
diagram diagrams 
scenario scenarios 
attraction attractions 
country countries 
helicopter helicopters 
disease diseases 
cylinder cylinders 
robber robbers 
fan fans 
Polish Poles 
airport airports 
builder builders 
tractor tractors 
superhero superheroes 
handset handsets 
seat seats 
mosquito mosquitoes 
traveller travellers 
element elements 
clause clauses 
character characters 
neighbour neighbours 
agent agents 
grenade grenades 
learner learners 
representative representatives 
Jew Jews 
diver divers 
Actor Actors 
postcard postcards 
idiot idiots 
competitor competitors 
casino casinos 
diocese dioceses 
protein proteins 
administration administrations 
Musician Musicians 
marker markers 
screenshot screenshots 
warship warships 
superstar superstars 
dog dogs 
company companies 
commissioner commissioners 
nomination nominations 
muslim muslims 
solicitor solicitors 
motorcycle motorcycles 
owner owners 
liar liars 
producer producers 
sensor sensors 
commander commanders 
columnist columnists 
follower followers 
dictatorship dictatorships 
workshop workshops 
journal journals 
cave caves 
father fathers 
puppet puppets 
zoo zoos 
crew crews 
chicken chickens 
division divisions 
response responses 
ferry ferries 
melody melodies 
Director Directors 
winner winners 
reviewer reviewers 
internship internships 
pastor pastors 
depiction depictions 
appliance appliances 
pistol pistols 
square squares 
start-up start-ups 
jihadist jihadists 
battleship battleships 
salad salads 
object objects 
definition definitions 
interpretation interpretations 
map maps 
ballad ballads 
hymn hymns 
poem poems 
descriptor descriptors 
provision provisions 
exemption exemptions 
threat threats 
assertion assertions 
myth myths 
misconception misconceptions 
verse verses 
designation designations 
keyword keywords 
bill bills 
revision revisions 
cup cups 
modification modifications 
statute statutes 
clarification clarifications 
treaty treaties 
law laws 
perception perceptions 

